,Pathology,Protein,diff,X.log.p_adj,diff_zscore_global
0,Normal + stroma + lymphocytes,ACTA2,0.33040738,45.799122039829946,1.713854
1,Normal + stroma + lymphocytes,BCL2,0.20393455,51.998828267133234,1.0839012
2,Normal + stroma + lymphocytes,CCR7,-0.029994905,7.563907029709922,-0.08128587
3,Normal + stroma + lymphocytes,CD14,-0.015239954,2.5453758810444884,-0.0077924426
4,Normal + stroma + lymphocytes,CD163,-0.10171306,30.524486133596895,-0.43850926
5,Normal + stroma + lymphocytes,CD19,0.014536381,5.487613940092959,0.1405215
6,Normal + stroma + lymphocytes,CD27,0.036489785,13.296801299456625,0.24986994
7,Normal + stroma + lymphocytes,CD274,-0.14164525,38.243170764799515,-0.63740885
8,Normal + stroma + lymphocytes,CD3E,-0.08539945,9.409847628940012,-0.35725224
9,Normal + stroma + lymphocytes,CD4,0.014381766,3.7243671661038134,0.13975137
10,Normal + stroma + lymphocytes,CD40,-0.006177485,0.46836918339524314,0.03734711
11,Normal + stroma + lymphocytes,CD68,-0.3829007,94.69240808951805,-1.8390862
12,Normal + stroma + lymphocytes,CD8A,-0.08576554,7.083838666296642,-0.35907573
13,Normal + stroma + lymphocytes,CEACAM8,-0.25210685,16.347838760969896,-1.1876107
14,Normal + stroma + lymphocytes,CR2,0.043493867,68.63755635355338,0.2847568
15,Normal + stroma + lymphocytes,CXCR5,0.06860304,7.3179018614452875,0.4098239
16,Normal + stroma + lymphocytes,EPCAM,0.07110381,8.398860221854791,0.4222801
17,Normal + stroma + lymphocytes,FCGR3A,-0.15420312,16.42405478285682,-0.69995874
18,Normal + stroma + lymphocytes,HLA_DRA,-0.18496442,26.56894027992938,-0.85317874
19,Normal + stroma + lymphocytes,ITGAM,-0.03182459,3.7585246313692684,-0.09039941
20,Normal + stroma + lymphocytes,ITGAX,-0.25001824,70.9448915881851,-1.1772075
21,Normal + stroma + lymphocytes,KRT5,0.77220064,63.96851346332832,3.9143968
22,Normal + stroma + lymphocytes,MS4A1,0.030457318,2.0585898103513323,0.21982263
23,Normal + stroma + lymphocytes,PAX5,0.19584876,18.68494296098498,1.0436264
24,Normal + stroma + lymphocytes,PCNA,-0.19372636,35.605732122916876,-0.8968214
25,Normal + stroma + lymphocytes,PDCD1,-0.028414607,14.846823779587996,-0.07341451
26,Normal + stroma + lymphocytes,PECAM1,0.017211676,1.1190349559949042,0.15384696
27,Normal + stroma + lymphocytes,PTPRC_1,0.0078626275,0.5884695986360039,0.10727998
28,Normal + stroma + lymphocytes,PTPRC_2,-0.17133588,44.684600706383,-0.78529584
29,Normal + stroma + lymphocytes,SDC1,0.061471343,7.4527455070194115,0.3743014
30,Normal + stroma + lymphocytes,VIM,-0.011351109,0.46836918339524314,0.011577638
31,Stroma + adipose tissue,ACTA2,-0.21003723,10.569135201417934,-0.9780647
32,Stroma + adipose tissue,BCL2,-0.28769532,41.37618259409539,-1.3648745
