,Pathology,Protein,diff,X.log.p_adj,diff_zscore_global
0,Stroma,ACTA2,0.96777236,300.0,2.0611875
1,Stroma,BCL2,-0.30257612,300.0,-0.6444347
2,Stroma,CCR7,-0.2691784,300.0,-0.57330334
3,Stroma,CD14,-0.16327113,271.28261349273174,-0.34773922
4,Stroma,CD163,-0.287098,300.0,-0.611469
5,Stroma,CD19,-0.09068519,300.0,-0.19314373
6,Stroma,CD27,-0.17628896,300.0,-0.37546495
7,Stroma,CD274,-0.753355,300.0,-1.6045157
8,Stroma,CD3E,-0.45219308,300.0,-0.9630929
9,Stroma,CD4,-0.14335644,300.0,-0.30532438
10,Stroma,CD40,-0.1219421,167.7958895027962,-0.25971553
11,Stroma,CD68,-0.81069136,300.0,-1.7266321
12,Stroma,CD8A,-0.51999927,300.0,-1.1075083
13,Stroma,CEACAM8,-0.03884083,1.7468066748509017,-0.08272422
14,Stroma,CR2,0.02075398,121.59461985013715,0.04420239
15,Stroma,CXCR5,-0.11777085,100.7161884776032,-0.25083148
16,Stroma,EPCAM,-0.34720778,300.0,-0.7394924
17,Stroma,FCGR3A,-0.34699136,208.45381624413415,-0.7390315
18,Stroma,HLA_DRA,-0.6562143,300.0,-1.3976227
19,Stroma,ITGAM,-0.22639036,184.1810711616203,-0.48217225
20,Stroma,ITGAX,-0.65841913,300.0,-1.4023187
21,Stroma,KRT5,-1.2934529,300.0,-2.7548306
22,Stroma,MS4A1,-0.15962523,167.75372709973573,-0.33997408
23,Stroma,PAX5,-0.2530563,140.16505959043454,-0.53896606
24,Stroma,PCNA,-0.600228,300.0,-1.2783817
25,Stroma,PDCD1,-0.13755757,300.0,-0.2929738
26,Stroma,PECAM1,0.20843232,246.43771001860225,0.44392473
27,Stroma,PTPRC_1,-0.12923151,202.13934842958128,-0.27524072
28,Stroma,PTPRC_2,-0.5270113,300.0,-1.1224427
29,Stroma,SDC1,-0.44504187,300.0,-0.9478621
30,Stroma,VIM,-0.0099160075,1.091826933913799,-0.021119364
31,Tumor,ACTA2,-0.96777236,300.0,-2.0611875
32,Tumor,BCL2,0.30257612,300.0,0.6444347
33,Tumor,CCR7,0.2691784,300.0,0.57330334
34,Tumor,CD14,0.16327113,271.28261349273174,0.34773922
35,Tumor,CD163,0.287098,300.0,0.611469
36,Tumor,CD19,0.09068519,300.0,0.19314376
37,Tumor,CD27,0.17628896,300.0,0.37546495
38,Tumor,CD274,0.753355,300.0,1.6045157
39,Tumor,CD3E,0.45219308,300.0,0.9630929
40,Tumor,CD4,0.14335644,300.0,0.30532438
41,Tumor,CD40,0.1219421,167.7958895027962,0.25971556
42,Tumor,CD68,0.81069136,300.0,1.7266321
43,Tumor,CD8A,0.51999927,300.0,1.1075083
44,Tumor,CEACAM8,0.03884083,1.7468066748509017,0.08272426
45,Tumor,CR2,-0.02075398,121.59461985013715,-0.04420237
46,Tumor,CXCR5,0.11777085,100.7161884776032,0.2508315
47,Tumor,EPCAM,0.34720778,300.0,0.7394924
48,Tumor,FCGR3A,0.34699136,208.45381624413415,0.7390315
49,Tumor,HLA_DRA,0.6562143,300.0,1.3976227
50,Tumor,ITGAM,0.22639036,184.1810711616203,0.48217225
51,Tumor,ITGAX,0.65841913,300.0,1.4023187
52,Tumor,KRT5,1.2934529,300.0,2.7548306
53,Tumor,MS4A1,0.15962523,167.75372709973573,0.33997408
54,Tumor,PAX5,0.2530563,140.16505959043454,0.53896606
55,Tumor,PCNA,0.600228,300.0,1.2783817
56,Tumor,PDCD1,0.13755757,300.0,0.2929738
57,Tumor,PECAM1,-0.20843232,246.43771001860225,-0.44392473
58,Tumor,PTPRC_1,0.12923151,202.13934842958128,0.27524072
59,Tumor,PTPRC_2,0.5270113,300.0,1.1224427
60,Tumor,SDC1,0.44504187,300.0,0.9478621
61,Tumor,VIM,0.0099160075,1.091826933913799,0.021119392
