,Pathology,Protein,diff,X.log.p_adj,diff_zscore_global
0,Stroma,ACTA2,0.3487671,109.51723706309589,1.2779094
1,Stroma,BCL2,0.02797842,5.111636227315031,0.12373493
2,Stroma,CCR7,0.027179062,11.279727113394754,0.12085889
3,Stroma,CD14,-0.011235595,3.839846313518242,-0.017354243
4,Stroma,CD163,0.008724093,1.0661632637455027,0.054459266
5,Stroma,CD19,0.07070446,162.45055032006,0.2774601
6,Stroma,CD27,0.099603474,209.83010277197607,0.38143668
7,Stroma,CD274,-0.01509881,1.5151218501109398,-0.03125381
8,Stroma,CD3E,0.27870744,204.5726795252431,1.0258398
9,Stroma,CD4,0.006080568,1.3361882002399215,0.044948053
10,Stroma,CD40,0.021797776,16.526037166475444,0.10149743
11,Stroma,CD68,0.05102986,6.876154453790288,0.20667234
12,Stroma,CD8A,0.35438085,221.25457310592552,1.2981071
13,Stroma,CEACAM8,0.3626544,57.831032468836746,1.3278748
14,Stroma,CR2,-0.017609656,52.93290074475808,-0.04028765
15,Stroma,CXCR5,0.18281937,161.94596216872878,0.6808414
16,Stroma,EPCAM,-0.30869275,255.06765961790623,-1.0875834
17,Stroma,FCGR3A,0.043340206,7.037247090332841,0.17900552
18,Stroma,HLA_DRA,0.17143887,68.33526163791626,0.6398952
19,Stroma,ITGAM,-0.0057772994,0.548071108702967,0.0022843066
20,Stroma,ITGAX,0.0946368,46.2617885184676,0.36356694
21,Stroma,KRT5,0.3203082,37.841472304131706,1.1755164
22,Stroma,MS4A1,0.12936503,101.43235991228583,0.48851657
23,Stroma,PAX5,0.30068624,102.36912110227892,1.1049179
24,Stroma,PCNA,-0.17586982,80.97839993602209,-0.6096962
25,Stroma,PDCD1,0.03593558,76.82424679231558,0.15236421
26,Stroma,PECAM1,0.038730025,10.939155932582379,0.16241843
27,Stroma,PTPRC_1,0.09020114,110.89633645259384,0.34760776
28,Stroma,PTPRC_2,0.19092411,158.51357081563094,0.71000165
29,Stroma,SDC1,-0.17918223,141.48279437535015,-0.62161404
30,Stroma,VIM,0.28028595,257.80693444809896,1.0315192
31,Tumor,ACTA2,-0.70500624,300.0,-2.5134904
32,Tumor,BCL2,0.23828882,300.0,0.88041645
33,Tumor,CCR7,0.1337164,270.54079740346657,0.5041725
34,Tumor,CD14,0.07635409,214.39441018207052,0.29778707
35,Tumor,CD163,0.15737265,260.03131645658704,0.58928597
36,Tumor,CD19,-0.02237147,33.22524975828797,-0.057420313
37,Tumor,CD27,-0.020864367,14.375113640257316,-0.051997866
38,Tumor,CD274,0.24334538,300.0,0.8986096
39,Tumor,CD3E,-0.13499594,96.13709723762568,-0.46263495
40,Tumor,CD4,0.123034954,300.0,0.46574143
41,Tumor,CD40,-0.027044177,37.187988777957734,-0.07423237
42,Tumor,CD68,0.24564075,192.5150615572951,0.9068682
43,Tumor,CD8A,-0.13902926,66.44169423331071,-0.4771466
