,Pathology,Protein,diff,X.log.p_adj,diff_zscore_global
0,Melanoma,ACTA2,-0.22470093,6.098770656156154,-0.93694896
1,Melanoma,BCL2,-0.02882582,0.5052254958849043,-0.16045676
2,Melanoma,CCR7,0.027283847,1.231426941658269,0.061974365
3,Melanoma,CD14,0.0012108088,0.04970580126200714,-0.041384924
4,Melanoma,CD163,0.05572045,2.98200671136459,0.17470333
5,Melanoma,CD19,-0.11589867,11.48963332482536,-0.50563276
6,Melanoma,CD27,-0.03440219,3.051073371331664,-0.18256274
7,Melanoma,CD274,0.15012586,6.430098343343243,0.5489473
8,Melanoma,CD3E,-0.21951813,6.705924397655653,-0.9164032
9,Melanoma,CD4,0.026813567,1.5008463285331397,0.06011007
10,Melanoma,CD40,-0.19311512,24.80182566611681,-0.8117358
11,Melanoma,CD68,0.10619557,1.9721310489803257,0.37479788
12,Melanoma,CD8A,-0.23531854,6.282972346685316,-0.97903955
13,Melanoma,CEACAM8,-0.3274811,6.495237015260725,-1.3443923
14,Melanoma,CR2,-0.04704696,16.109429010527265,-0.2326894
15,Melanoma,CXCR5,-0.56921625,11.464443760174499,-2.302684
16,Melanoma,EPCAM,0.2299369,33.008888061362654,0.8653359
17,Melanoma,FCGR3A,0.20244622,4.470821236701971,0.7563568
18,Melanoma,HLA_DRA,-0.43813044,10.022059323151908,-1.7830307
19,Melanoma,ITGAM,-0.09091467,6.3300521190402,-0.40659067
20,Melanoma,ITGAX,-0.19655704,14.858383887724935,-0.8253804
21,Melanoma,KRT5,0.21979237,5.7949219734386785,0.82512075
22,Melanoma,MS4A1,-0.44593918,13.374785065723795,-1.8139863
23,Melanoma,PAX5,-0.33836854,3.880246153887617,-1.3875525
24,Melanoma,PCNA,0.35815877,19.043750142056204,1.3736358
25,Melanoma,PDCD1,-0.1282512,14.532571631777088,-0.5546009
26,Melanoma,PECAM1,-0.19319904,12.597577286604334,-0.8120685
27,Melanoma,PTPRC_1,-0.18077284,10.847652173763235,-0.7628083
28,Melanoma,PTPRC_2,-0.2502702,10.182284437822364,-1.0383111
29,Melanoma,SDC1,0.26401615,22.833194065954228,1.0004336
30,Melanoma,VIM,-0.32498384,40.21935983378165,-1.3344926
31,Lymphoid,ACTA2,-0.0009701252,0.008340022521062565,-0.050030626
32,Lymphoid,BCL2,0.18499237,13.561635921984381,0.68716586
33,Lymphoid,CCR7,0.053298175,5.005365654757116,0.1651009
34,Lymphoid,CD14,-0.0004903674,0.008340022521062565,-0.04812876
35,Lymphoid,CD163,0.017260015,0.44480746408775274,0.022237679
36,Lymphoid,CD19,0.16460633,13.234352620289206,0.6063511
37,Lymphoid,CD27,0.057183623,6.383050705716477,0.18050368
38,Lymphoid,CD274,-0.13757938,3.268086915840321,-0.5915799
39,Lymphoid,CD3E,0.37926823,13.759149645516661,1.4573183
40,Lymphoid,CD4,0.049574077,9.40451486030776,0.15033776
41,Lymphoid,CD40,0.19250125,13.348600615850174,0.7169327
42,Lymphoid,CD68,-0.013811529,0.08017894767953555,-0.10093679
43,Lymphoid,CD8A,0.4129222,16.566351375319968,1.5907301
44,Lymphoid,CEACAM8,0.14181751,1.1765769792798473,0.5160112
45,Lymphoid,CR2,0.045425177,7.927658561259522,0.1338906
46,Lymphoid,CXCR5,0.8015279,11.731654825239868,3.131249
47,Lymphoid,EPCAM,-0.18918872,15.246623749485627,-0.7961707
48,Lymphoid,FCGR3A,-0.26486635,3.506805517650294,-1.0961736
49,Lymphoid,HLA_DRA,0.67709094,18.183718417487373,2.6379533
50,Lymphoid,ITGAM,0.06920135,2.150924966717139,0.22814462
51,Lymphoid,ITGAX,0.21533597,11.276610662687887,0.8074546
52,Lymphoid,KRT5,-0.29853755,8.414530350700623,-1.2296537
53,Lymphoid,MS4A1,0.5656687,10.808930341860483,2.196251
54,Lymphoid,PAX5,0.7513916,14.343526189806566,2.9324975
55,Lymphoid,PCNA,-0.24134463,6.642287831649135,-1.0029283
56,Lymphoid,PDCD1,0.16939014,14.371806728511878,0.6253152
57,Lymphoid,PECAM1,0.06124729,2.259736198643485,0.19661295
58,Lymphoid,PTPRC_1,0.26896417,16.566351375319968,1.0200486
59,Lymphoid,PTPRC_2,0.39250773,19.565137193514666,1.5098026
60,Lymphoid,SDC1,-0.2350291,9.868228253479,-0.97789216
61,Lymphoid,VIM,0.26478028,19.12297776763984,1.0034628
62,Stroma,ACTA2,0.41308182,6.3276378438636325,1.5913628
63,Stroma,BCL2,-0.1876418,3.9745363619569964,-0.7900384
64,Stroma,CCR7,-0.119287014,5.479547421564569,-0.5190649
65,Stroma,CD14,-0.0015817285,0.027625533357618064,-0.052455157
66,Stroma,CD163,-0.12455797,5.283910177828176,-0.53996015
67,Stroma,CD19,-0.0015587807,0.027625533357618064,-0.05236419
68,Stroma,CD27,-0.011282623,0.24865512226663117,-0.09091165
69,Stroma,CD274,-0.09630346,1.6592674845425206,-0.42795306
70,Stroma,CD3E,-0.09069061,1.168421669909681,-0.40570247
71,Stroma,CD4,-0.11358446,5.945632785852249,-0.4964587
72,Stroma,CD40,0.10369855,9.13075836962355,0.36489913
73,Stroma,CD68,-0.17667651,2.22426171973117,-0.7465696
74,Stroma,CD8A,-0.10547912,0.9964949758453704,-0.4643274
75,Stroma,CEACAM8,0.41584218,4.13438278215928,1.6023055
76,Stroma,CR2,0.027176976,5.283910177828176,0.061550707
77,Stroma,CXCR5,0.0013221502,0.007925745821965579,-0.04094354
78,Stroma,EPCAM,-0.17548972,10.92989515049447,-0.74186486
79,Stroma,FCGR3A,-0.026732564,0.19966423426501437,-0.15215863
80,Stroma,HLA_DRA,-0.07716948,0.5134427377734766,-0.3521017
81,Stroma,ITGAM,0.07666856,3.2771036973632754,0.25774628
82,Stroma,ITGAX,0.08032411,2.6079301833167974,0.2722377
83,Stroma,KRT5,-0.014754355,0.033914567738465934,-0.10467436
84,Stroma,MS4A1,0.08198005,1.0584405156038659,0.2788022
85,Stroma,PAX5,-0.35659164,2.7831497393721216,-1.459793
86,Stroma,PCNA,-0.34269083,8.905173537986911,-1.404687
87,Stroma,PDCD1,0.014861226,0.5235674872179156,0.012728349
88,Stroma,PECAM1,0.27446997,8.416503717345858,1.0418749
89,Stroma,PTPRC_1,-0.018316269,0.24865512226663117,-0.118794575
90,Stroma,PTPRC_2,-0.0515396,0.7455832436519703,-0.25049922
91,Stroma,SDC1,-0.17836058,12.049049749638137,-0.7532456
92,Stroma,VIM,0.25142545,12.758844702787762,0.95052123
